2026-03-16 23:01:58 startup archives unpack
2026-03-16 23:01:58 install netbase:all <none> 6.5
2026-03-16 23:01:58 status half-installed netbase:all 6.5
2026-03-16 23:01:58 status unpacked netbase:all 6.5
2026-03-16 23:01:58 install openssl:amd64 <none> 3.5.5-1~deb13u1
2026-03-16 23:01:58 status half-installed openssl:amd64 3.5.5-1~deb13u1
2026-03-16 23:01:59 status unpacked openssl:amd64 3.5.5-1~deb13u1
2026-03-16 23:01:59 install ca-certificates:all <none> 20250419
2026-03-16 23:01:59 status half-installed ca-certificates:all 20250419
2026-03-16 23:01:59 status unpacked ca-certificates:all 20250419
2026-03-16 23:01:59 startup packages configure
2026-03-16 23:01:59 configure netbase:all 6.5 <none>
2026-03-16 23:01:59 status unpacked netbase:all 6.5
2026-03-16 23:01:59 status half-configured netbase:all 6.5
2026-03-16 23:01:59 status installed netbase:all 6.5
2026-03-16 23:01:59 configure openssl:amd64 3.5.5-1~deb13u1 <none>
2026-03-16 23:01:59 status unpacked openssl:amd64 3.5.5-1~deb13u1
2026-03-16 23:01:59 status half-configured openssl:amd64 3.5.5-1~deb13u1
2026-03-16 23:01:59 status installed openssl:amd64 3.5.5-1~deb13u1
2026-03-16 23:01:59 configure ca-certificates:all 20250419 <none>
2026-03-16 23:01:59 status unpacked ca-certificates:all 20250419
2026-03-16 23:01:59 status half-configured ca-certificates:all 20250419
2026-03-16 23:02:00 status installed ca-certificates:all 20250419
2026-03-16 23:02:00 status triggers-pending ca-certificates:all 20250419
2026-03-16 23:02:00 trigproc ca-certificates:all 20250419 <none>
2026-03-16 23:02:00 status half-configured ca-certificates:all 20250419
2026-03-16 23:02:00 status installed ca-certificates:all 20250419
2026-03-16 23:02:06 startup archives unpack
2026-03-16 23:02:07 install libexpat1:amd64 <none> 2.7.1-2
2026-03-16 23:02:07 status triggers-pending libc-bin:amd64 2.41-12+deb13u2
2026-03-16 23:02:07 status half-installed libexpat1:amd64 2.7.1-2
2026-03-16 23:02:07 status unpacked libexpat1:amd64 2.7.1-2
2026-03-16 23:02:07 install adduser:all <none> 3.152
2026-03-16 23:02:07 status half-installed adduser:all 3.152
2026-03-16 23:02:07 status unpacked adduser:all 3.152
2026-03-16 23:02:07 startup packages configure
2026-03-16 23:02:07 configure adduser:all 3.152 <none>
2026-03-16 23:02:07 status unpacked adduser:all 3.152
2026-03-16 23:02:07 status half-configured adduser:all 3.152
2026-03-16 23:02:07 status installed adduser:all 3.152
2026-03-16 23:02:07 startup archives unpack
2026-03-16 23:02:07 install readline-common:all <none> 8.2-6
2026-03-16 23:02:07 status half-installed readline-common:all 8.2-6
2026-03-16 23:02:07 status unpacked readline-common:all 8.2-6
2026-03-16 23:02:07 install bzip2:amd64 <none> 1.0.8-6
2026-03-16 23:02:07 status half-installed bzip2:amd64 1.0.8-6
2026-03-16 23:02:07 status unpacked bzip2:amd64 1.0.8-6
2026-03-16 23:02:07 install perl-modules-5.40:all <none> 5.40.1-6
2026-03-16 23:02:07 status half-installed perl-modules-5.40:all 5.40.1-6
2026-03-16 23:02:07 status unpacked perl-modules-5.40:all 5.40.1-6
2026-03-16 23:02:07 install libgdbm6t64:amd64 <none> 1.24-2
2026-03-16 23:02:07 status half-installed libgdbm6t64:amd64 1.24-2
2026-03-16 23:02:07 status unpacked libgdbm6t64:amd64 1.24-2
2026-03-16 23:02:07 install libgdbm-compat4t64:amd64 <none> 1.24-2
2026-03-16 23:02:07 status half-installed libgdbm-compat4t64:amd64 1.24-2
2026-03-16 23:02:07 status unpacked libgdbm-compat4t64:amd64 1.24-2
2026-03-16 23:02:07 install libperl5.40:amd64 <none> 5.40.1-6
2026-03-16 23:02:07 status half-installed libperl5.40:amd64 5.40.1-6
2026-03-16 23:02:07 status unpacked libperl5.40:amd64 5.40.1-6
2026-03-16 23:02:07 install perl:amd64 <none> 5.40.1-6
2026-03-16 23:02:07 status half-installed perl:amd64 5.40.1-6
2026-03-16 23:02:07 status unpacked perl:amd64 5.40.1-6
2026-03-16 23:02:07 install libunistring5:amd64 <none> 1.3-2
2026-03-16 23:02:07 status half-installed libunistring5:amd64 1.3-2
2026-03-16 23:02:07 status unpacked libunistring5:amd64 1.3-2
2026-03-16 23:02:07 install libidn2-0:amd64 <none> 2.3.8-2
2026-03-16 23:02:07 status half-installed libidn2-0:amd64 2.3.8-2
2026-03-16 23:02:07 status unpacked libidn2-0:amd64 2.3.8-2
2026-03-16 23:02:07 install libffi8:amd64 <none> 3.4.8-2
2026-03-16 23:02:07 status half-installed libffi8:amd64 3.4.8-2
2026-03-16 23:02:07 status unpacked libffi8:amd64 3.4.8-2
2026-03-16 23:02:07 install libp11-kit0:amd64 <none> 0.25.5-3
2026-03-16 23:02:07 status half-installed libp11-kit0:amd64 0.25.5-3
2026-03-16 23:02:07 status unpacked libp11-kit0:amd64 0.25.5-3
2026-03-16 23:02:07 install libtasn1-6:amd64 <none> 4.20.0-2
2026-03-16 23:02:07 status half-installed libtasn1-6:amd64 4.20.0-2
2026-03-16 23:02:07 status unpacked libtasn1-6:amd64 4.20.0-2
2026-03-16 23:02:08 install libgnutls30t64:amd64 <none> 3.8.9-3+deb13u2
2026-03-16 23:02:08 status half-installed libgnutls30t64:amd64 3.8.9-3+deb13u2
2026-03-16 23:02:08 status unpacked libgnutls30t64:amd64 3.8.9-3+deb13u2
2026-03-16 23:02:08 install libpsl5t64:amd64 <none> 0.21.2-1.1+b1
2026-03-16 23:02:08 status half-installed libpsl5t64:amd64 0.21.2-1.1+b1
2026-03-16 23:02:08 status unpacked libpsl5t64:amd64 0.21.2-1.1+b1
2026-03-16 23:02:08 install wget:amd64 <none> 1.25.0-2
2026-03-16 23:02:08 status half-installed wget:amd64 1.25.0-2
2026-03-16 23:02:08 status unpacked wget:amd64 1.25.0-2
2026-03-16 23:02:08 install xz-utils:amd64 <none> 5.8.1-1
2026-03-16 23:02:08 status half-installed xz-utils:amd64 5.8.1-1
2026-03-16 23:02:08 status unpacked xz-utils:amd64 5.8.1-1
2026-03-16 23:02:08 install libsframe1:amd64 <none> 2.44-3
2026-03-16 23:02:08 status half-installed libsframe1:amd64 2.44-3
2026-03-16 23:02:08 status unpacked libsframe1:amd64 2.44-3
2026-03-16 23:02:08 install binutils-common:amd64 <none> 2.44-3
2026-03-16 23:02:08 status half-installed binutils-common:amd64 2.44-3
2026-03-16 23:02:08 status unpacked binutils-common:amd64 2.44-3
2026-03-16 23:02:08 install libbinutils:amd64 <none> 2.44-3
2026-03-16 23:02:08 status half-installed libbinutils:amd64 2.44-3
2026-03-16 23:02:08 status unpacked libbinutils:amd64 2.44-3
2026-03-16 23:02:08 install libgprofng0:amd64 <none> 2.44-3
2026-03-16 23:02:08 status half-installed libgprofng0:amd64 2.44-3
2026-03-16 23:02:08 status unpacked libgprofng0:amd64 2.44-3
2026-03-16 23:02:08 install libctf-nobfd0:amd64 <none> 2.44-3
2026-03-16 23:02:08 status half-installed libctf-nobfd0:amd64 2.44-3
2026-03-16 23:02:08 status unpacked libctf-nobfd0:amd64 2.44-3
2026-03-16 23:02:08 install libctf0:amd64 <none> 2.44-3
2026-03-16 23:02:08 status half-installed libctf0:amd64 2.44-3
2026-03-16 23:02:08 status unpacked libctf0:amd64 2.44-3
2026-03-16 23:02:08 install libjansson4:amd64 <none> 2.14-2+b3
2026-03-16 23:02:08 status half-installed libjansson4:amd64 2.14-2+b3
2026-03-16 23:02:08 status unpacked libjansson4:amd64 2.14-2+b3
2026-03-16 23:02:08 install binutils-x86-64-linux-gnu:amd64 <none> 2.44-3
